Time to set up network: 3.6086730957
Node 97 transferred 1 to Node 2 (final dest: Node 61, left: 0)
Node 17 transferred 2 to Node 77 (final dest: Node 31, left: 0)
Node 22 transferred 1 to Node 64 (final dest: Node 44, left: 0)
Node 95 transferred 2 to Node 23 (final dest: Node 65, left: 2)
Node 27 transferred 1 to Node 30 (final dest: Node 74, left: 5)
Node 68 transferred 1 to Node 73 (final dest: Node 42, left: 0)
Node 71 transferred 2 to Node 31 (final dest: Node 58, left: 0)
Node 80 transferred 5 to Node 35 (final dest: Node 35, left: 0)
Node 33 transferred 2 to Node 74 (final dest: Node 74, left: 0)
Node 42 transferred 10 to Node 15 (final dest: Node 80, left: 0)
Node 96 transferred 2 to Node 45 (final dest: Node 77, left: 0)
Node 14 transferred 1 to Node 8 (final dest: Node 45, left: 0)
